Date,Home_Team,Away_Team,Home_Odds,Draw_Odds,Away_Odds,Competition,Source
2015-04-03,Rebels,Reds,1.66,20.59,2.26,Data,aussportsbetting.com
2015-04-03,Hurricanes,Stormers,1.28,24.51,3.73,Data,aussportsbetting.com
2015-04-04,Chiefs,Blues,1.21,26.96,4.36,Data,aussportsbetting.com
2015-04-04,Brumbies,Cheetahs,1.12,30.18,6.13,Data,aussportsbetting.com
2015-04-04,Sharks,Crusaders,1.79,20.18,2.06,Data,aussportsbetting.com
2015-04-04,Lions,Bulls,2.2,20.26,1.69,Data,aussportsbetting.com
2015-04-10,Blues,Brumbies,2.17,20.89,1.71,Data,aussportsbetting.com
2015-04-11,Crusaders,Highlanders,1.28,24.02,3.71,Data,aussportsbetting.com
2015-04-11,Waratahs,Stormers,1.25,23.87,3.95,Data,aussportsbetting.com
2015-04-11,Force,Cheetahs,1.5,21.47,2.61,Data,aussportsbetting.com
2015-04-11,Lions,Sharks,1.68,20.76,2.22,Data,aussportsbetting.com
2015-04-11,Bulls,Reds,1.1,30.09,6.46,Data,aussportsbetting.com
2015-04-17,Crusaders,Chiefs,1.66,20.81,2.28,Data,aussportsbetting.com
2015-04-18,Highlanders,Blues,1.38,22.81,3.11,Data,aussportsbetting.com
2015-04-18,Force,Stormers,2.83,20.97,1.44,Data,aussportsbetting.com
2015-04-18,Hurricanes,Waratahs,1.43,22.2,2.88,Data,aussportsbetting.com
2015-04-18,Brumbies,Rebels,1.25,24.76,4.01,Data,aussportsbetting.com
2015-04-19,Sharks,Bulls,1.91,19.97,1.92,Data,aussportsbetting.com
2015-04-19,Cheetahs,Reds,1.39,22.04,3.08,Data,aussportsbetting.com
2015-04-24,Chiefs,Force,1.11,30.55,6.61,Data,aussportsbetting.com
2015-04-24,Brumbies,Highlanders,1.35,22.51,3.3,Data,aussportsbetting.com
2015-04-25,Crusaders,Blues,1.26,24.33,3.88,Data,aussportsbetting.com
2015-04-25,Waratahs,Rebels,1.21,26.94,4.39,Data,aussportsbetting.com
2015-04-26,Lions,Cheetahs,1.27,23.87,3.84,Data,aussportsbetting.com
2015-04-26,Stormers,Bulls,1.64,20.17,2.31,Data,aussportsbetting.com
2015-04-26,Reds,Hurricanes,3.35,22.28,1.33,Data,aussportsbetting.com
2015-05-01,Highlanders,Sharks,1.32,22.26,3.5,Data,aussportsbetting.com
2015-05-01,Brumbies,Waratahs,1.79,19.75,2.08,Data,aussportsbetting.com
2015-05-02,Hurricanes,Crusaders,1.52,20.62,2.6,Data,aussportsbetting.com
2015-05-02,Rebels,Chiefs,2.84,21.6,1.44,Data,aussportsbetting.com
2015-05-02,Cheetahs,Stormers,3.07,21.47,1.39,Data,aussportsbetting.com
2015-05-02,Bulls,Lions,1.31,21.95,3.6,Data,aussportsbetting.com
2015-05-02,Blues,Force,1.29,22.46,3.73,Data,aussportsbetting.com
2015-05-08,Crusaders,Reds,1.09,34.57,7.52,Data,aussportsbetting.com
2015-05-08,Rebels,Blues,1.58,21.49,2.45,Data,aussportsbetting.com
2015-05-09,Stormers,Brumbies,1.59,20.63,2.43,Data,aussportsbetting.com
2015-05-09,Hurricanes,Sharks,1.2,25.93,4.59,Data,aussportsbetting.com
2015-05-09,Force,Waratahs,3.59,22.93,1.3,Data,aussportsbetting.com
2015-05-09,Lions,Highlanders,2.01,20.0,1.83,Data,aussportsbetting.com
2015-05-15,Blues,Bulls,2.13,19.67,1.73,Data,aussportsbetting.com
2015-05-15,Reds,Rebels,2.33,20.21,1.63,Data,aussportsbetting.com
2015-05-16,Cheetahs,Highlanders,2.65,21.89,1.5,Data,aussportsbetting.com
2015-05-16,Hurricanes,Chiefs,1.38,21.37,3.14,Data,aussportsbetting.com
2015-05-16,Waratahs,Sharks,1.24,24.03,4.09,Data,aussportsbetting.com
2015-05-16,Lions,Brumbies,2.08,20.57,1.77,Data,aussportsbetting.com
2015-05-22,Chiefs,Bulls,1.39,22.48,3.1,Data,aussportsbetting.com
2015-05-22,Reds,Sharks,1.79,20.32,2.06,Data,aussportsbetting.com
2015-05-23,Blues,Hurricanes,2.89,21.95,1.43,Data,aussportsbetting.com
2015-05-23,Waratahs,Crusaders,1.67,20.36,2.27,Data,aussportsbetting.com
2015-05-23,Force,Highlanders,2.72,21.82,1.49,Data,aussportsbetting.com
2015-05-23,Cheetahs,Lions,2.25,20.63,1.68,Data,aussportsbetting.com
2015-05-23,Stormers,Rebels,1.2,26.99,4.64,Data,aussportsbetting.com
2015-05-29,Crusaders,Hurricanes,2.4,20.09,1.6,Data,aussportsbetting.com
2015-05-29,Brumbies,Bulls,1.32,23.51,3.46,Data,aussportsbetting.com
2015-05-29,Sharks,Rebels,1.35,24.2,3.27,Data,aussportsbetting.com
2015-05-30,Lions,Waratahs,2.13,20.52,1.74,Data,aussportsbetting.com
2015-05-30,Force,Reds,1.65,20.43,2.3,Data,aussportsbetting.com
2015-05-30,Stormers,Cheetahs,1.13,31.06,5.91,Data,aussportsbetting.com
2015-05-30,Highlanders,Chiefs,1.61,20.5,2.4,Data,aussportsbetting.com
2015-06-05,Hurricanes,Highlanders,1.26,24.36,3.9,Data,aussportsbetting.com
2015-06-05,Force,Brumbies,3.69,23.08,1.29,Data,aussportsbetting.com
2015-06-06,Rebels,Bulls,1.77,20.39,2.08,Data,aussportsbetting.com
2015-06-06,Blues,Crusaders,4.46,24.75,1.2,Data,aussportsbetting.com
2015-06-06,Reds,Chiefs,2.46,21.18,1.56,Data,aussportsbetting.com
2015-06-06,Cheetahs,Waratahs,4.45,24.39,1.21,Data,aussportsbetting.com
2015-06-06,Stormers,Lions,1.34,22.82,3.27,Data,aussportsbetting.com
2015-06-12,Blues,Highlanders,4.36,25.8,1.21,Data,aussportsbetting.com
2015-06-12,Rebels,Force,1.24,25.24,4.03,Data,aussportsbetting.com
2015-06-13,Waratahs,Reds,1.14,26.89,5.61,Data,aussportsbetting.com
2015-06-13,Chiefs,Hurricanes,1.46,21.39,2.77,Data,aussportsbetting.com
2015-06-13,Brumbies,Crusaders,1.54,20.79,2.49,Data,aussportsbetting.com
2015-06-14,Bulls,Cheetahs,1.1,31.15,6.4,Data,aussportsbetting.com
2015-06-14,Sharks,Stormers,1.27,22.45,3.8,Data,aussportsbetting.com
2015-06-20,Highlanders,Chiefs,1.55,20.26,2.53,Data,aussportsbetting.com
2015-06-20,Stormers,Brumbies,1.66,19.99,2.28,Data,aussportsbetting.com
2015-06-27,Hurricanes,Brumbies,1.27,23.31,3.92,Data,aussportsbetting.com
2015-06-27,Waratahs,Highlanders,1.55,20.35,2.54,Data,aussportsbetting.com
2015-07-04,Hurricanes,Highlanders,1.38,21.7,3.14,Data,aussportsbetting.com
2016-02-26,Blues,Highlanders,2.25,21.09,1.68,Data,aussportsbetting.com
2016-02-26,Brumbies,Hurricanes,1.51,21.55,2.6,Data,aussportsbetting.com
2016-02-26,Cheetahs,Jaguares,3.35,24.35,1.33,Data,aussportsbetting.com
2016-02-27,Stormers,Bulls,1.37,22.81,3.18,Data,aussportsbetting.com
2016-02-27,Kings,Sharks,5.08,29.86,1.17,Data,aussportsbetting.com
2016-02-27,Force,Rebels,1.82,19.79,2.05,Data,aussportsbetting.com
2016-02-27,Crusaders,Chiefs,1.75,20.23,2.13,Data,aussportsbetting.com
2016-02-27,Sunwolves,Lions,5.14,31.62,1.16,Data,aussportsbetting.com
2016-02-27,Waratahs,Reds,1.13,30.51,5.84,Data,aussportsbetting.com
2016-03-04,Crusaders,Blues,1.53,23.05,2.56,Data,aussportsbetting.com
2016-03-04,Brumbies,Waratahs,1.36,24.55,3.26,Data,aussportsbetting.com
2016-03-05,Chiefs,Lions,1.17,31.91,4.96,Data,aussportsbetting.com
2016-03-05,Highlanders,Hurricanes,1.47,22.36,2.78,Data,aussportsbetting.com
2016-03-05,Reds,Force,1.63,21.52,2.35,Data,aussportsbetting.com
2016-03-05,Bulls,Rebels,1.49,23.78,2.69,Data,aussportsbetting.com
2016-03-05,Cheetahs,Stormers,3.12,23.77,1.38,Data,aussportsbetting.com
2016-03-05,Sharks,Jaguares,1.58,22.51,2.43,Data,aussportsbetting.com
2016-03-11,Blues,Hurricanes,1.77,21.16,2.1,Data,aussportsbetting.com
2016-03-11,Force,Brumbies,4.84,28.99,1.19,Data,aussportsbetting.com
2016-03-12,Rebels,Reds,2.68,23.02,1.5,Data,aussportsbetting.com
2016-03-12,Highlanders,Lions,1.28,26.9,3.78,Data,aussportsbetting.com
2016-03-12,Sunwolves,Cheetahs,1.33,25.28,3.39,Data,aussportsbetting.com
2016-03-13,Stormers,Sharks,1.48,21.72,2.74,Data,aussportsbetting.com
2016-03-13,Kings,Chiefs,8.32,40.43,1.07,Data,aussportsbetting.com
2016-03-18,Waratahs,Highlanders,1.62,20.87,2.37,Data,aussportsbetting.com
2016-03-18,Hurricanes,Force,1.14,30.65,5.55,Data,aussportsbetting.com
2016-03-19,Bulls,Sharks,2.06,20.43,1.81,Data,aussportsbetting.com
2016-03-19,Sunwolves,Rebels,2.81,23.68,1.47,Data,aussportsbetting.com
2016-03-19,Crusaders,Kings,1.01,42.14,18.09,Data,aussportsbetting.com
2016-03-19,Reds,Blues,3.07,22.04,1.4,Data,aussportsbetting.com
2016-03-20,Lions,Cheetahs,1.22,27.97,4.32,Data,aussportsbetting.com
2016-03-20,Stormers,Brumbies,2.14,18.91,1.76,Data,aussportsbetting.com
2016-03-20,Jaguares,Chiefs,1.57,21.46,2.5,Data,aussportsbetting.com
2016-03-25,Hurricanes,Kings,1.01,39.34,18.22,Data,aussportsbetting.com
2016-03-26,Jaguares,Stormers,1.64,20.77,2.32,Data,aussportsbetting.com
2016-03-26,Sharks,Crusaders,1.69,20.71,2.25,Data,aussportsbetting.com
2016-03-26,Sunwolves,Bulls,5.75,32.71,1.13,Data,aussportsbetting.com
2016-03-26,Chiefs,Force,1.11,32.86,6.49,Data,aussportsbetting.com
2016-03-26,Cheetahs,Brumbies,4.46,27.49,1.21,Data,aussportsbetting.com
