Team,xWins,Wins,Performance
South Africa Barbarians South,0.029,0.0,-0.029
Mendoza,0.53,0.5,-0.030000000000000027
South West Zone,0.031,0.0,-0.031
Cougars,0.031,0.0,-0.031
Pontypool / Newbridge,0.032,0.0,-0.032
South Africa Barbarians North,0.032,0.0,-0.032
Victoria / South Australia,0.034,0.0,-0.034
ANZAC,0.035,0.0,-0.035
Western Japan,0.036,0.0,-0.036
Welsh Students,0.036,0.0,-0.036
Royal XV,0.036,0.0,-0.036
OFS Country Invitation XV,0.036,0.0,-0.036
"Midlands, London & Home Counties",0.036,0.0,-0.036
Canada Select XV,2.036,2.0,-0.03600000000000003
Southland,15.536999999999999,15.5,-0.036999999999999034
Southern New South Wales,0.037,0.0,-0.037
Argentina B,0.037000000000000005,0.0,-0.037000000000000005
Buenos Aries Selection,0.038,0.0,-0.038
Eastern Canada,0.038,0.0,-0.038
SA Universities,0.038,0.0,-0.038
Canada B,0.039,0.0,-0.039
New York Metropolitan,0.041,0.0,-0.041
Northern New South Wales,0.042,0.0,-0.042
Coast of Basque,0.042,0.0,-0.042
Tasmanian Invitation,0.042,0.0,-0.042
Eastern Province Kings,0.042,0.0,-0.042
Combined Waseda U and Kinki Nihon Railway XV,0.043,0.0,-0.043
Blues Development XV,3.043,3.0,-0.04300000000000015
Junior Wallabies,0.044,0.0,-0.044
Royal Navy,0.044,0.0,-0.044
Rest of Scottish Districts,0.045,0.0,-0.045
Fijian Barbarians,0.045,0.0,-0.045
Royal Air Force,0.045,0.0,-0.045
ACT Presidents XV,0.046,0.0,-0.046
British Army,0.047,0.0,-0.047
Western New South Wales,0.047,0.0,-0.047
Southern Region XV,0.049,0.0,-0.049
"Lancashire, Chesire & Yorkshire",0.051,0.0,-0.051
Lower Mainland,0.051,0.0,-0.051
Northern Services,0.051,0.0,-0.051
Wellington Province,0.051,0.0,-0.051
Northern Region XV,0.052,0.0,-0.052
Club Atlético de San Isidro,0.052,0.0,-0.052
Cheshire,0.053,0.0,-0.053
Combined XV,0.054,0.0,-0.054
Durham / Northumberland,0.054,0.0,-0.054
Cheltenham,0.055,0.0,-0.055
Canada All Stars,0.056,0.0,-0.056
North Midlands & Warwickshire,0.056,0.0,-0.056
Rugby East (USA),0.056,0.0,-0.056
Classic Wallabies,0.058,0.0,-0.058
Northern Suburbs,0.058,0.0,-0.058
Scottish Universities,0.059,0.0,-0.059
British Columbia XV,0.06,0.0,-0.06
Quebec & Maritimes,0.062,0.0,-0.062
Mid-Districts (Wales),0.066,0.0,-0.066
Basque Selection,1.067,1.0,-0.06699999999999995
California,0.07,0.0,-0.07
Nelson Bays,2.571,2.5,-0.07100000000000017
University of California,0.072,0.0,-0.072
West Japan,0.072,0.0,-0.072
British Army of the Rhine,0.075,0.0,-0.075
Cordoba,1.5750000000000002,1.5,-0.07500000000000018
USA B,0.076,0.0,-0.076
Valencia Select,0.078,0.0,-0.078
University of British Columbia,0.081,0.0,-0.081
Hampshire & Sussex,0.081,0.0,-0.081
Western Fiji Select,0.083,0.0,-0.083
New York Selection,0.083,0.0,-0.083
Castille / Leon XV,0.085,0.0,-0.085
Canadian Select XV,0.085,0.0,-0.085
South West XV,0.085,0.0,-0.085
Auckland-North Auckland,0.086,0.0,-0.086
Fiji XV,0.087,0.0,-0.087
Combined Central / Western,0.088,0.0,-0.088
North West Counties,1.088,1.0,-0.08800000000000008
Spain U23,0.09,0.0,-0.09
Aquitaine XV,0.092,0.0,-0.092
Australian United Services,0.093,0.0,-0.093
Cumberland,0.094,0.0,-0.094
Basque Country,0.096,0.0,-0.096
Combined Western,0.096,0.0,-0.096
Devonport Albion,0.098,0.0,-0.098
East Japan,0.099,0.0,-0.099
Middlesex,1.1030000000000002,1.0,-0.1030000000000002
Japan U23,0.106,0.0,-0.106
Currie Cup Select,0.107,0.0,-0.107
King Country / Counties,0.108,0.0,-0.108
Gloucestershire / Somerset,0.11,0.0,-0.11
South East,0.11099999999999999,0.0,-0.11099999999999999
North & Midlands of Scotland,1.111,1.0,-0.11099999999999999
Suntory,0.113,0.0,-0.113
Tarucas,5.114,5.0,-0.11399999999999988
Northumberland & Cheshire,0.114,0.0,-0.114
South Australian Presidents XV,0.115,0.0,-0.115
Eastern Province Inv. XV,0.618,0.5,-0.118
Bay of Plenty / Counties / Thames Valley,0.12,0.0,-0.12
South Africa Rugby Association,0.121,0.0,-0.121
Dublin University,0.122,0.0,-0.122
Pyrenees,0.122,0.0,-0.122
Western Transvaal,3.123,3.0,-0.12300000000000022
Mashonaland County Districts,0.124,0.0,-0.124
Queensland XV,0.126,0.0,-0.126
Samoa Development Team,0.128,0.0,-0.128
Johannesburg Town,0.134,0.0,-0.134
Italy Emergenti XV,0.136,0.0,-0.136
Tonga Presidents XV,1.139,1.0,-0.139
Calgary,0.139,0.0,-0.139
United Services,0.14,0.0,-0.14
Lautoka,0.141,0.0,-0.141
Narbonne,0.141,0.0,-0.141
Hartlepool Clubs,0.142,0.0,-0.142
Goshawks,0.144,0.0,-0.144
President's Trophy XV,0.144,0.0,-0.144
Pontypool & Cross Keys,0.147,0.0,-0.147
Gold Cup XV,0.15,0.0,-0.15
North Viti Levu,0.15,0.0,-0.15
Randwick,0.151,0.0,-0.151
Abertillery & Cross Keys,0.152,0.0,-0.152
Gwent,0.153,0.0,-0.153
Johannesburg Country,0.153,0.0,-0.153
Invitation XV,0.154,0.0,-0.154
Australian Southern States,0.155,0.0,-0.155
Cote d'Azur,0.155,0.0,-0.155
